Timestamp,P0026_[Large Arch 2A Space Humidity 1][Large Arch 2A Space Humidity 1] [P26] [S26V] [Synchronized@1800](%RH)
25-Sep-20 12:00:00 am,44.6
26-Sep-20 12:00:00 am,44.7
27-Sep-20 12:00:00 am,44.9
28-Sep-20 12:00:00 am,45.5
29-Sep-20 12:00:00 am,45.0
30-Sep-20 12:00:00 am,45.5
01-Oct-20 12:00:00 am,44.8
02-Oct-20 12:00:00 am,45.3
03-Oct-20 12:00:00 am,45.7
04-Oct-20 12:00:00 am,45.8
05-Oct-20 12:00:00 am,45.9
06-Oct-20 12:00:00 am,45.4
07-Oct-20 12:00:00 am,45.7
08-Oct-20 12:00:00 am,45.8
09-Oct-20 12:00:00 am,45.7
10-Oct-20 12:00:00 am,45.7
11-Oct-20 12:00:00 am,45.6
12-Oct-20 12:00:00 am,45.8
13-Oct-20 12:00:00 am,46.1
14-Oct-20 12:00:00 am,46.1
15-Oct-20 12:00:00 am,46.1
16-Oct-20 12:00:00 am,46.1
17-Oct-20 12:00:00 am,47.8
18-Oct-20 12:00:00 am,50.4
19-Oct-20 12:00:00 am,51.7
20-Oct-20 12:00:00 am,50.6
21-Oct-20 12:00:00 am,46.4
22-Oct-20 12:00:00 am,45.7
23-Oct-20 12:00:00 am,45.8
24-Oct-20 12:00:00 am,46.9
25-Oct-20 12:00:00 am,47.4
26-Oct-20 12:00:00 am,46.8
27-Oct-20 12:00:00 am,46.4
28-Oct-20 12:00:00 am,46.1
29-Oct-20 12:00:00 am,45.9
30-Oct-20 12:00:00 am,48.5
31-Oct-20 12:00:00 am,49.2
01-Nov-20 12:00:00 am,48.7
02-Nov-20 12:00:00 am,48.4
03-Nov-20 12:00:00 am,48.2
04-Nov-20 12:00:00 am,48.2
05-Nov-20 12:00:00 am,48.2
06-Nov-20 12:00:00 am,48.6
07-Nov-20 12:00:00 am,48.9
08-Nov-20 12:00:00 am,48.8
09-Nov-20 12:00:00 am,49.2
10-Nov-20 12:00:00 am,49.1
11-Nov-20 12:00:00 am,49.7
12-Nov-20 12:00:00 am,49.2
13-Nov-20 12:00:00 am,48.9
14-Nov-20 12:00:00 am,48.9
15-Nov-20 12:00:00 am,48.8
16-Nov-20 12:00:00 am,48.8
17-Nov-20 12:00:00 am,48.9
18-Nov-20 12:00:00 am,48.8
19-Nov-20 12:00:00 am,48.7
20-Nov-20 12:00:00 am,48.6
21-Nov-20 12:00:00 am,47.5
22-Nov-20 12:00:00 am,49.0
23-Nov-20 12:00:00 am,49.1
24-Nov-20 12:00:00 am,48.8
25-Nov-20 12:00:00 am,49.2
26-Nov-20 12:00:00 am,49.0
27-Nov-20 12:00:00 am,49.1
28-Nov-20 12:00:00 am,49.0
29-Nov-20 12:00:00 am,47.4
30-Nov-20 12:00:00 am,48.6
01-Dec-20 12:00:00 am,48.7
02-Dec-20 12:00:00 am,48.7
03-Dec-20 12:00:00 am,48.8
04-Dec-20 12:00:00 am,48.8
05-Dec-20 12:00:00 am,48.7
06-Dec-20 12:00:00 am,47.2
07-Dec-20 12:00:00 am,47.8
08-Dec-20 12:00:00 am,48.1
09-Dec-20 12:00:00 am,48.3
10-Dec-20 12:00:00 am,48.6
11-Dec-20 12:00:00 am,48.4
12-Dec-20 12:00:00 am,47.8
13-Dec-20 12:00:00 am,47.7
14-Dec-20 12:00:00 am,47.9
15-Dec-20 12:00:00 am,48.1
16-Dec-20 12:00:00 am,48.2
17-Dec-20 12:00:00 am,48.2
18-Dec-20 12:00:00 am,46.9
19-Dec-20 12:00:00 am,47.6
20-Dec-20 12:00:00 am,48.1
21-Dec-20 12:00:00 am,48.1
22-Dec-20 12:00:00 am,48.3
23-Dec-20 12:00:00 am,48.4
24-Dec-20 12:00:00 am,48.5
25-Dec-20 12:00:00 am,48.4
26-Dec-20 12:00:00 am,48.3
27-Dec-20 12:00:00 am,48.4
28-Dec-20 12:00:00 am,48.4
29-Dec-20 12:00:00 am,48.5
30-Dec-20 12:00:00 am,48.4
31-Dec-20 12:00:00 am,46.7
01-Jan-21 12:00:00 am,47.3
02-Jan-21 12:00:00 am,48.1
03-Jan-21 12:00:00 am,48.4
04-Jan-21 12:00:00 am,48.7
05-Jan-21 12:00:00 am,49.0
06-Jan-21 12:00:00 am,49.1
07-Jan-21 12:00:00 am,49.2
08-Jan-21 12:00:00 am,49.3
09-Jan-21 12:00:00 am,49.4
10-Jan-21 12:00:00 am,49.5
11-Jan-21 12:00:00 am,49.4
12-Jan-21 12:00:00 am,49.6
13-Jan-21 12:00:00 am,49.8
14-Jan-21 12:00:00 am,49.9
15-Jan-21 12:00:00 am,50.1
16-Jan-21 12:00:00 am,50.0
17-Jan-21 12:00:00 am,50.1
18-Jan-21 12:00:00 am,50.2
19-Jan-21 12:00:00 am,50.2
20-Jan-21 12:00:00 am,50.2
21-Jan-21 12:00:00 am,50.4
22-Jan-21 12:00:00 am,50.5
23-Jan-21 12:00:00 am,50.7
24-Jan-21 12:00:00 am,50.6
25-Jan-21 12:00:00 am,50.1
26-Jan-21 12:00:00 am,49.7
27-Jan-21 12:00:00 am,49.5
28-Jan-21 12:00:00 am,49.4
29-Jan-21 12:00:00 am,50.0
30-Jan-21 12:00:00 am,50.3
31-Jan-21 12:00:00 am,50.3
01-Feb-21 12:00:00 am,50.3
02-Feb-21 12:00:00 am,49.8
03-Feb-21 12:00:00 am,50.3
04-Feb-21 12:00:00 am,49.9
05-Feb-21 12:00:00 am,49.7
06-Feb-21 12:00:00 am,49.8
07-Feb-21 12:00:00 am,49.6
08-Feb-21 12:00:00 am,49.4
09-Feb-21 12:00:00 am,49.8
10-Feb-21 12:00:00 am,50.2
11-Feb-21 12:00:00 am,50.3
12-Feb-21 12:00:00 am,50.2
13-Feb-21 12:00:00 am,49.9
14-Feb-21 12:00:00 am,49.8
15-Feb-21 12:00:00 am,42.0
16-Feb-21 12:00:00 am,50.3
17-Feb-21 12:00:00 am,49.8
18-Feb-21 12:00:00 am,50.2
19-Feb-21 12:00:00 am,50.5
20-Feb-21 12:00:00 am,50.0
21-Feb-21 12:00:00 am,50.0
22-Feb-21 12:00:00 am,49.2
23-Feb-21 12:00:00 am,47.5
24-Feb-21 12:00:00 am,47.8
25-Feb-21 12:00:00 am,47.5
26-Feb-21 12:00:00 am,47.0
27-Feb-21 12:00:00 am,47.2
28-Feb-21 12:00:00 am,47.2
01-Mar-21 12:00:00 am,47.0
02-Mar-21 12:00:00 am,47.0
03-Mar-21 12:00:00 am,46.3
04-Mar-21 12:00:00 am,47.0
05-Mar-21 12:00:00 am,46.9
06-Mar-21 12:00:00 am,47.0
07-Mar-21 12:00:00 am,47.1
08-Mar-21 12:00:00 am,47.0
09-Mar-21 12:00:00 am,47.1
10-Mar-21 12:00:00 am,47.2
11-Mar-21 12:00:00 am,47.3
12-Mar-21 12:00:00 am,47.1
13-Mar-21 12:00:00 am,47.0
14-Mar-21 12:00:00 am,47.1
15-Mar-21 12:00:00 am,46.9
16-Mar-21 12:00:00 am,46.8