Timestamp,P0027_[Large Arch 2A Space Temp 2][Large Arch 2A Space Temp 2] [P27] [S27V] [Synchronized@1800](°C)
25-Sep-20 12:00:00 am,21.6
26-Sep-20 12:00:00 am,21.6
27-Sep-20 12:00:00 am,21.4
28-Sep-20 12:00:00 am,21.2
29-Sep-20 12:00:00 am,21.1
30-Sep-20 12:00:00 am,21.0
01-Oct-20 12:00:00 am,20.9
02-Oct-20 12:00:00 am,20.9
03-Oct-20 12:00:00 am,20.7
04-Oct-20 12:00:00 am,20.7
05-Oct-20 12:00:00 am,20.5
06-Oct-20 12:00:00 am,20.4
07-Oct-20 12:00:00 am,20.2
08-Oct-20 12:00:00 am,20.1
09-Oct-20 12:00:00 am,20.1
10-Oct-20 12:00:00 am,19.9
11-Oct-20 12:00:00 am,19.7
12-Oct-20 12:00:00 am,19.6
13-Oct-20 12:00:00 am,19.5
14-Oct-20 12:00:00 am,19.4
15-Oct-20 12:00:00 am,19.3
16-Oct-20 12:00:00 am,19.2
17-Oct-20 12:00:00 am,19.3
18-Oct-20 12:00:00 am,19.3
19-Oct-20 12:00:00 am,19.3
20-Oct-20 12:00:00 am,19.3
21-Oct-20 12:00:00 am,19.2
22-Oct-20 12:00:00 am,19.1
23-Oct-20 12:00:00 am,19.0
24-Oct-20 12:00:00 am,19.0
25-Oct-20 12:00:00 am,18.9
26-Oct-20 12:00:00 am,18.8
27-Oct-20 12:00:00 am,18.7
28-Oct-20 12:00:00 am,18.6
29-Oct-20 12:00:00 am,18.6
30-Oct-20 12:00:00 am,18.5
31-Oct-20 12:00:00 am,18.5
01-Nov-20 12:00:00 am,18.5
02-Nov-20 12:00:00 am,18.5
03-Nov-20 12:00:00 am,18.5
04-Nov-20 12:00:00 am,18.4
05-Nov-20 12:00:00 am,18.3
06-Nov-20 12:00:00 am,18.2
07-Nov-20 12:00:00 am,18.1
08-Nov-20 12:00:00 am,18.0
09-Nov-20 12:00:00 am,18.0
10-Nov-20 12:00:00 am,18.0
11-Nov-20 12:00:00 am,17.9
12-Nov-20 12:00:00 am,17.9
13-Nov-20 12:00:00 am,17.9
14-Nov-20 12:00:00 am,17.8
15-Nov-20 12:00:00 am,17.8
16-Nov-20 12:00:00 am,17.8
17-Nov-20 12:00:00 am,17.7
18-Nov-20 12:00:00 am,17.7
19-Nov-20 12:00:00 am,17.6
20-Nov-20 12:00:00 am,17.5
21-Nov-20 12:00:00 am,17.4
22-Nov-20 12:00:00 am,17.4
23-Nov-20 12:00:00 am,17.3
24-Nov-20 12:00:00 am,17.3
25-Nov-20 12:00:00 am,17.3
26-Nov-20 12:00:00 am,17.2
27-Nov-20 12:00:00 am,17.2
28-Nov-20 12:00:00 am,17.1
29-Nov-20 12:00:00 am,17.0
30-Nov-20 12:00:00 am,16.9
01-Dec-20 12:00:00 am,16.8
02-Dec-20 12:00:00 am,16.7
03-Dec-20 12:00:00 am,16.7
04-Dec-20 12:00:00 am,16.6
05-Dec-20 12:00:00 am,16.5
06-Dec-20 12:00:00 am,16.3
07-Dec-20 12:00:00 am,16.2
08-Dec-20 12:00:00 am,16.1
09-Dec-20 12:00:00 am,16.0
10-Dec-20 12:00:00 am,15.9
11-Dec-20 12:00:00 am,15.9
12-Dec-20 12:00:00 am,15.7
13-Dec-20 12:00:00 am,15.6
14-Dec-20 12:00:00 am,15.6
15-Dec-20 12:00:00 am,15.6
16-Dec-20 12:00:00 am,15.6
17-Dec-20 12:00:00 am,15.5
18-Dec-20 12:00:00 am,15.5
19-Dec-20 12:00:00 am,15.5
20-Dec-20 12:00:00 am,15.5
21-Dec-20 12:00:00 am,15.5
22-Dec-20 12:00:00 am,15.5
23-Dec-20 12:00:00 am,15.5
24-Dec-20 12:00:00 am,15.5
25-Dec-20 12:00:00 am,15.4
26-Dec-20 12:00:00 am,15.3
27-Dec-20 12:00:00 am,15.3
28-Dec-20 12:00:00 am,15.2
29-Dec-20 12:00:00 am,15.1
30-Dec-20 12:00:00 am,15.0
31-Dec-20 12:00:00 am,14.8
01-Jan-21 12:00:00 am,14.6
02-Jan-21 12:00:00 am,14.5
03-Jan-21 12:00:00 am,14.4
04-Jan-21 12:00:00 am,14.2
05-Jan-21 12:00:00 am,14.1
06-Jan-21 12:00:00 am,14.0
07-Jan-21 12:00:00 am,13.8
08-Jan-21 12:00:00 am,13.7
09-Jan-21 12:00:00 am,13.5
10-Jan-21 12:00:00 am,13.4
11-Jan-21 12:00:00 am,13.2
12-Jan-21 12:00:00 am,13.1
13-Jan-21 12:00:00 am,13.0
14-Jan-21 12:00:00 am,13.0
15-Jan-21 12:00:00 am,12.9
16-Jan-21 12:00:00 am,12.8
17-Jan-21 12:00:00 am,12.7
18-Jan-21 12:00:00 am,12.6
19-Jan-21 12:00:00 am,12.6
20-Jan-21 12:00:00 am,12.6
21-Jan-21 12:00:00 am,12.6
22-Jan-21 12:00:00 am,12.5
23-Jan-21 12:00:00 am,12.5
24-Jan-21 12:00:00 am,12.4
25-Jan-21 12:00:00 am,12.3
26-Jan-21 12:00:00 am,12.2
27-Jan-21 12:00:00 am,12.2
28-Jan-21 12:00:00 am,12.2
29-Jan-21 12:00:00 am,12.3
30-Jan-21 12:00:00 am,12.3
31-Jan-21 12:00:00 am,12.3
01-Feb-21 12:00:00 am,12.3
02-Feb-21 12:00:00 am,12.3
03-Feb-21 12:00:00 am,12.3
04-Feb-21 12:00:00 am,12.3
05-Feb-21 12:00:00 am,12.3
06-Feb-21 12:00:00 am,12.3
07-Feb-21 12:00:00 am,12.3
08-Feb-21 12:00:00 am,12.2
09-Feb-21 12:00:00 am,12.1
10-Feb-21 12:00:00 am,12.0
11-Feb-21 12:00:00 am,11.8
12-Feb-21 12:00:00 am,11.7
13-Feb-21 12:00:00 am,11.5
14-Feb-21 12:00:00 am,11.4
15-Feb-21 12:00:00 am,27.8
16-Feb-21 12:00:00 am,11.2
17-Feb-21 12:00:00 am,11.3
18-Feb-21 12:00:00 am,11.4
19-Feb-21 12:00:00 am,11.4
20-Feb-21 12:00:00 am,11.5
21-Feb-21 12:00:00 am,11.6
22-Feb-21 12:00:00 am,11.7
23-Feb-21 12:00:00 am,11.8
24-Feb-21 12:00:00 am,12.0
25-Feb-21 12:00:00 am,12.2
26-Feb-21 12:00:00 am,12.2
27-Feb-21 12:00:00 am,12.4
28-Feb-21 12:00:00 am,12.5
01-Mar-21 12:00:00 am,12.5
02-Mar-21 12:00:00 am,12.6
03-Mar-21 12:00:00 am,12.6
04-Mar-21 12:00:00 am,12.7
05-Mar-21 12:00:00 am,12.7
06-Mar-21 12:00:00 am,12.7
07-Mar-21 12:00:00 am,12.7
08-Mar-21 12:00:00 am,12.7
09-Mar-21 12:00:00 am,12.7
10-Mar-21 12:00:00 am,12.8
11-Mar-21 12:00:00 am,12.9
12-Mar-21 12:00:00 am,12.9
13-Mar-21 12:00:00 am,12.9
14-Mar-21 12:00:00 am,12.9
15-Mar-21 12:00:00 am,13.0
16-Mar-21 12:00:00 am,13.0