Timestamp,P0033_[MediumArch 2B Space Temp 1][MediumArch 2B Space Temp 1] [P33] [S33V] [Synchronized@1800](°C)
25-Sep-20 12:00:00 am,21.2
26-Sep-20 12:00:00 am,21.1
27-Sep-20 12:00:00 am,21.0
28-Sep-20 12:00:00 am,20.9
29-Sep-20 12:00:00 am,20.8
30-Sep-20 12:00:00 am,20.7
01-Oct-20 12:00:00 am,20.6
02-Oct-20 12:00:00 am,20.5
03-Oct-20 12:00:00 am,20.4
04-Oct-20 12:00:00 am,20.3
05-Oct-20 12:00:00 am,20.1
06-Oct-20 12:00:00 am,20.0
07-Oct-20 12:00:00 am,19.9
08-Oct-20 12:00:00 am,19.8
09-Oct-20 12:00:00 am,19.7
10-Oct-20 12:00:00 am,19.6
11-Oct-20 12:00:00 am,19.4
12-Oct-20 12:00:00 am,19.4
13-Oct-20 12:00:00 am,19.2
14-Oct-20 12:00:00 am,19.1
15-Oct-20 12:00:00 am,19.0
16-Oct-20 12:00:00 am,18.9
17-Oct-20 12:00:00 am,18.8
18-Oct-20 12:00:00 am,18.8
19-Oct-20 12:00:00 am,18.8
20-Oct-20 12:00:00 am,19.0
21-Oct-20 12:00:00 am,18.9
22-Oct-20 12:00:00 am,18.7
23-Oct-20 12:00:00 am,18.7
24-Oct-20 12:00:00 am,18.7
25-Oct-20 12:00:00 am,18.6
26-Oct-20 12:00:00 am,18.6
27-Oct-20 12:00:00 am,18.5
28-Oct-20 12:00:00 am,18.4
29-Oct-20 12:00:00 am,18.3
30-Oct-20 12:00:00 am,18.3
31-Oct-20 12:00:00 am,18.3
01-Nov-20 12:00:00 am,18.3
02-Nov-20 12:00:00 am,18.3
03-Nov-20 12:00:00 am,18.3
04-Nov-20 12:00:00 am,18.2
05-Nov-20 12:00:00 am,18.2
06-Nov-20 12:00:00 am,18.1
07-Nov-20 12:00:00 am,18.0
08-Nov-20 12:00:00 am,17.9
09-Nov-20 12:00:00 am,18.0
10-Nov-20 12:00:00 am,17.9
11-Nov-20 12:00:00 am,17.9
12-Nov-20 12:00:00 am,17.9
13-Nov-20 12:00:00 am,17.9
14-Nov-20 12:00:00 am,17.9
15-Nov-20 12:00:00 am,17.9
16-Nov-20 12:00:00 am,17.8
17-Nov-20 12:00:00 am,17.8
18-Nov-20 12:00:00 am,17.8
19-Nov-20 12:00:00 am,17.8
20-Nov-20 12:00:00 am,17.7
21-Nov-20 12:00:00 am,17.7
22-Nov-20 12:00:00 am,17.7
23-Nov-20 12:00:00 am,17.6
24-Nov-20 12:00:00 am,17.6
25-Nov-20 12:00:00 am,17.5
26-Nov-20 12:00:00 am,17.5
27-Nov-20 12:00:00 am,17.5
28-Nov-20 12:00:00 am,17.4
29-Nov-20 12:00:00 am,17.3
30-Nov-20 12:00:00 am,17.3
01-Dec-20 12:00:00 am,17.3
02-Dec-20 12:00:00 am,17.2
03-Dec-20 12:00:00 am,17.2
04-Dec-20 12:00:00 am,17.1
05-Dec-20 12:00:00 am,17.0
06-Dec-20 12:00:00 am,16.9
07-Dec-20 12:00:00 am,16.8
08-Dec-20 12:00:00 am,16.6
09-Dec-20 12:00:00 am,16.6
10-Dec-20 12:00:00 am,16.5
11-Dec-20 12:00:00 am,16.5
12-Dec-20 12:00:00 am,16.4
13-Dec-20 12:00:00 am,16.3
14-Dec-20 12:00:00 am,16.2
15-Dec-20 12:00:00 am,16.3
16-Dec-20 12:00:00 am,16.3
17-Dec-20 12:00:00 am,16.3
18-Dec-20 12:00:00 am,16.3
19-Dec-20 12:00:00 am,16.3
20-Dec-20 12:00:00 am,16.3
21-Dec-20 12:00:00 am,16.3
22-Dec-20 12:00:00 am,16.3
23-Dec-20 12:00:00 am,16.3
24-Dec-20 12:00:00 am,16.3
25-Dec-20 12:00:00 am,16.2
26-Dec-20 12:00:00 am,16.2
27-Dec-20 12:00:00 am,16.2
28-Dec-20 12:00:00 am,16.1
29-Dec-20 12:00:00 am,16.0
30-Dec-20 12:00:00 am,15.9
31-Dec-20 12:00:00 am,15.8
01-Jan-21 12:00:00 am,15.6
02-Jan-21 12:00:00 am,15.6
03-Jan-21 12:00:00 am,15.5
04-Jan-21 12:00:00 am,15.3
05-Jan-21 12:00:00 am,15.2
06-Jan-21 12:00:00 am,15.0
07-Jan-21 12:00:00 am,14.9
08-Jan-21 12:00:00 am,14.7
09-Jan-21 12:00:00 am,14.5
10-Jan-21 12:00:00 am,14.3
11-Jan-21 12:00:00 am,14.1
12-Jan-21 12:00:00 am,14.0
13-Jan-21 12:00:00 am,13.8
14-Jan-21 12:00:00 am,13.7
15-Jan-21 12:00:00 am,13.6
16-Jan-21 12:00:00 am,13.4
17-Jan-21 12:00:00 am,13.3
18-Jan-21 12:00:00 am,13.2
19-Jan-21 12:00:00 am,13.1
20-Jan-21 12:00:00 am,13.1
21-Jan-21 12:00:00 am,13.1
22-Jan-21 12:00:00 am,13.0
23-Jan-21 12:00:00 am,13.0
24-Jan-21 12:00:00 am,13.0
25-Jan-21 12:00:00 am,12.9
26-Jan-21 12:00:00 am,12.7
27-Jan-21 12:00:00 am,12.7
28-Jan-21 12:00:00 am,12.9
29-Jan-21 12:00:00 am,13.0
30-Jan-21 12:00:00 am,13.1
31-Jan-21 12:00:00 am,13.2
01-Feb-21 12:00:00 am,13.2
02-Feb-21 12:00:00 am,13.3
03-Feb-21 12:00:00 am,13.3
04-Feb-21 12:00:00 am,13.3
05-Feb-21 12:00:00 am,13.3
06-Feb-21 12:00:00 am,13.3
07-Feb-21 12:00:00 am,13.3
08-Feb-21 12:00:00 am,13.2
09-Feb-21 12:00:00 am,13.0
10-Feb-21 12:00:00 am,12.9
11-Feb-21 12:00:00 am,12.6
12-Feb-21 12:00:00 am,12.4
13-Feb-21 12:00:00 am,12.2
14-Feb-21 12:00:00 am,12.0
15-Feb-21 12:00:00 am,28.1
16-Feb-21 12:00:00 am,11.8
17-Feb-21 12:00:00 am,11.8
18-Feb-21 12:00:00 am,12.0
19-Feb-21 12:00:00 am,12.1
20-Feb-21 12:00:00 am,12.2
21-Feb-21 12:00:00 am,12.4
22-Feb-21 12:00:00 am,12.5
23-Feb-21 12:00:00 am,12.7
24-Feb-21 12:00:00 am,12.9
25-Feb-21 12:00:00 am,13.1
26-Feb-21 12:00:00 am,13.2
27-Feb-21 12:00:00 am,13.3
28-Feb-21 12:00:00 am,13.4
01-Mar-21 12:00:00 am,13.4
02-Mar-21 12:00:00 am,13.5
03-Mar-21 12:00:00 am,13.6
04-Mar-21 12:00:00 am,13.7
05-Mar-21 12:00:00 am,13.7
06-Mar-21 12:00:00 am,13.7
07-Mar-21 12:00:00 am,13.8
08-Mar-21 12:00:00 am,13.8
09-Mar-21 12:00:00 am,13.8
10-Mar-21 12:00:00 am,13.9
11-Mar-21 12:00:00 am,13.9
12-Mar-21 12:00:00 am,14.0
13-Mar-21 12:00:00 am,14.1
14-Mar-21 12:00:00 am,14.1
15-Mar-21 12:00:00 am,14.1
16-Mar-21 12:00:00 am,14.2