Timestamp,P0053_[Cool Arch 4A Space Temp 1][Cool Arch 4A Space Temp 1] [P53] [S53V] [Synchronized@1800](°C)
25-Sep-20 12:00:00 am,21.3
26-Sep-20 12:00:00 am,20.7
27-Sep-20 12:00:00 am,20.7
28-Sep-20 12:00:00 am,20.6
29-Sep-20 12:00:00 am,20.6
30-Sep-20 12:00:00 am,20.7
01-Oct-20 12:00:00 am,20.7
02-Oct-20 12:00:00 am,20.6
03-Oct-20 12:00:00 am,20.4
04-Oct-20 12:00:00 am,20.2
05-Oct-20 12:00:00 am,19.9
06-Oct-20 12:00:00 am,19.9
07-Oct-20 12:00:00 am,19.8
08-Oct-20 12:00:00 am,19.7
09-Oct-20 12:00:00 am,19.7
10-Oct-20 12:00:00 am,19.4
11-Oct-20 12:00:00 am,19.2
12-Oct-20 12:00:00 am,19.1
13-Oct-20 12:00:00 am,19.0
14-Oct-20 12:00:00 am,18.9
15-Oct-20 12:00:00 am,18.7
16-Oct-20 12:00:00 am,18.6
17-Oct-20 12:00:00 am,18.5
18-Oct-20 12:00:00 am,18.4
19-Oct-20 12:00:00 am,18.4
20-Oct-20 12:00:00 am,18.6
21-Oct-20 12:00:00 am,18.5
22-Oct-20 12:00:00 am,18.9
23-Oct-20 12:00:00 am,18.6
24-Oct-20 12:00:00 am,18.6
25-Oct-20 12:00:00 am,18.6
26-Oct-20 12:00:00 am,18.6
27-Oct-20 12:00:00 am,18.3
28-Oct-20 12:00:00 am,18.3
29-Oct-20 12:00:00 am,18.1
30-Oct-20 12:00:00 am,18.0
31-Oct-20 12:00:00 am,17.8
01-Nov-20 12:00:00 am,18.0
02-Nov-20 12:00:00 am,17.9
03-Nov-20 12:00:00 am,17.8
04-Nov-20 12:00:00 am,17.7
05-Nov-20 12:00:00 am,17.5
06-Nov-20 12:00:00 am,17.2
07-Nov-20 12:00:00 am,17.2
08-Nov-20 12:00:00 am,17.2
09-Nov-20 12:00:00 am,17.1
10-Nov-20 12:00:00 am,17.3
11-Nov-20 12:00:00 am,17.0
12-Nov-20 12:00:00 am,17.5
13-Nov-20 12:00:00 am,17.4
14-Nov-20 12:00:00 am,17.4
15-Nov-20 12:00:00 am,17.4
16-Nov-20 12:00:00 am,17.3
17-Nov-20 12:00:00 am,17.2
18-Nov-20 12:00:00 am,17.2
19-Nov-20 12:00:00 am,17.1
20-Nov-20 12:00:00 am,16.9
21-Nov-20 12:00:00 am,16.5
22-Nov-20 12:00:00 am,16.5
23-Nov-20 12:00:00 am,16.8
24-Nov-20 12:00:00 am,16.7
25-Nov-20 12:00:00 am,16.7
26-Nov-20 12:00:00 am,16.6
27-Nov-20 12:00:00 am,16.4
28-Nov-20 12:00:00 am,16.0
29-Nov-20 12:00:00 am,16.3
30-Nov-20 12:00:00 am,16.2
01-Dec-20 12:00:00 am,16.0
02-Dec-20 12:00:00 am,15.9
03-Dec-20 12:00:00 am,15.8
04-Dec-20 12:00:00 am,15.6
05-Dec-20 12:00:00 am,15.4
06-Dec-20 12:00:00 am,15.2
07-Dec-20 12:00:00 am,15.0
08-Dec-20 12:00:00 am,14.8
09-Dec-20 12:00:00 am,14.7
10-Dec-20 12:00:00 am,14.7
11-Dec-20 12:00:00 am,14.6
12-Dec-20 12:00:00 am,14.7
13-Dec-20 12:00:00 am,14.7
14-Dec-20 12:00:00 am,14.7
15-Dec-20 12:00:00 am,14.8
16-Dec-20 12:00:00 am,14.9
17-Dec-20 12:00:00 am,14.8
18-Dec-20 12:00:00 am,14.9
19-Dec-20 12:00:00 am,14.9
20-Dec-20 12:00:00 am,14.8
21-Dec-20 12:00:00 am,14.8
22-Dec-20 12:00:00 am,14.9
23-Dec-20 12:00:00 am,14.9
24-Dec-20 12:00:00 am,14.9
25-Dec-20 12:00:00 am,14.6
26-Dec-20 12:00:00 am,14.3
27-Dec-20 12:00:00 am,14.3
28-Dec-20 12:00:00 am,14.2
29-Dec-20 12:00:00 am,14.0
30-Dec-20 12:00:00 am,13.7
31-Dec-20 12:00:00 am,13.6
01-Jan-21 12:00:00 am,13.3
02-Jan-21 12:00:00 am,12.9
03-Jan-21 12:00:00 am,12.9
04-Jan-21 12:00:00 am,12.9
05-Jan-21 12:00:00 am,12.7
06-Jan-21 12:00:00 am,12.9
07-Jan-21 12:00:00 am,12.5
08-Jan-21 12:00:00 am,12.3
09-Jan-21 12:00:00 am,12.2
10-Jan-21 12:00:00 am,12.0
11-Jan-21 12:00:00 am,12.2
12-Jan-21 12:00:00 am,12.5
13-Jan-21 12:00:00 am,12.4
14-Jan-21 12:00:00 am,12.5
15-Jan-21 12:00:00 am,12.3
16-Jan-21 12:00:00 am,12.0
17-Jan-21 12:00:00 am,12.1
18-Jan-21 12:00:00 am,12.0
19-Jan-21 12:00:00 am,12.0
20-Jan-21 12:00:00 am,12.2
21-Jan-21 12:00:00 am,12.2
22-Jan-21 12:00:00 am,12.1
23-Jan-21 12:00:00 am,12.0
24-Jan-21 12:00:00 am,11.8
25-Jan-21 12:00:00 am,11.6
26-Jan-21 12:00:00 am,11.5
27-Jan-21 12:00:00 am,11.5
28-Jan-21 12:00:00 am,11.6
29-Jan-21 12:00:00 am,11.8
30-Jan-21 12:00:00 am,11.9
31-Jan-21 12:00:00 am,11.7
01-Feb-21 12:00:00 am,11.6
02-Feb-21 12:00:00 am,11.5
03-Feb-21 12:00:00 am,11.6
04-Feb-21 12:00:00 am,11.7
05-Feb-21 12:00:00 am,11.7
06-Feb-21 12:00:00 am,11.8
07-Feb-21 12:00:00 am,11.8
08-Feb-21 12:00:00 am,11.5
09-Feb-21 12:00:00 am,11.2
10-Feb-21 12:00:00 am,10.9
11-Feb-21 12:00:00 am,10.7
12-Feb-21 12:00:00 am,10.6
13-Feb-21 12:00:00 am,10.3
14-Feb-21 12:00:00 am,10.2
15-Feb-21 12:00:00 am,26.9
16-Feb-21 12:00:00 am,10.4
17-Feb-21 12:00:00 am,10.6
18-Feb-21 12:00:00 am,10.8
19-Feb-21 12:00:00 am,10.9
20-Feb-21 12:00:00 am,11.0
21-Feb-21 12:00:00 am,11.3
22-Feb-21 12:00:00 am,11.5
23-Feb-21 12:00:00 am,11.6
24-Feb-21 12:00:00 am,11.8
25-Feb-21 12:00:00 am,12.2
26-Feb-21 12:00:00 am,12.2
27-Feb-21 12:00:00 am,12.3
28-Feb-21 12:00:00 am,12.4
01-Mar-21 12:00:00 am,12.4
02-Mar-21 12:00:00 am,12.4
03-Mar-21 12:00:00 am,12.4
04-Mar-21 12:00:00 am,12.4
05-Mar-21 12:00:00 am,12.3
06-Mar-21 12:00:00 am,12.2
07-Mar-21 12:00:00 am,12.1
08-Mar-21 12:00:00 am,12.0
09-Mar-21 12:00:00 am,12.1
10-Mar-21 12:00:00 am,12.2
11-Mar-21 12:00:00 am,12.3
12-Mar-21 12:00:00 am,12.3
13-Mar-21 12:00:00 am,12.3
14-Mar-21 12:00:00 am,12.3
15-Mar-21 12:00:00 am,12.4
16-Mar-21 12:00:00 am,12.5