Timestamp,P0054_[Cool Arch 4A Space Humidity 1][Cool Arch 4A Space Humidity 1] [P54] [S54V] [Synchronized@1800](%RH)
25-Sep-20 12:00:00 am,43.2
26-Sep-20 12:00:00 am,40.4
27-Sep-20 12:00:00 am,42.2
28-Sep-20 12:00:00 am,43.7
29-Sep-20 12:00:00 am,45.6
30-Sep-20 12:00:00 am,45.3
01-Oct-20 12:00:00 am,43.8
02-Oct-20 12:00:00 am,44.3
03-Oct-20 12:00:00 am,45.0
04-Oct-20 12:00:00 am,45.7
05-Oct-20 12:00:00 am,43.5
06-Oct-20 12:00:00 am,45.7
07-Oct-20 12:00:00 am,45.5
08-Oct-20 12:00:00 am,46.3
09-Oct-20 12:00:00 am,45.2
10-Oct-20 12:00:00 am,44.3
11-Oct-20 12:00:00 am,44.8
12-Oct-20 12:00:00 am,44.9
13-Oct-20 12:00:00 am,44.8
14-Oct-20 12:00:00 am,45.1
15-Oct-20 12:00:00 am,44.8
16-Oct-20 12:00:00 am,44.9
17-Oct-20 12:00:00 am,45.7
18-Oct-20 12:00:00 am,47.3
19-Oct-20 12:00:00 am,48.1
20-Oct-20 12:00:00 am,48.6
21-Oct-20 12:00:00 am,41.8
22-Oct-20 12:00:00 am,43.4
23-Oct-20 12:00:00 am,41.3
24-Oct-20 12:00:00 am,42.3
25-Oct-20 12:00:00 am,40.4
26-Oct-20 12:00:00 am,43.0
27-Oct-20 12:00:00 am,41.5
28-Oct-20 12:00:00 am,43.8
29-Oct-20 12:00:00 am,45.2
30-Oct-20 12:00:00 am,45.9
31-Oct-20 12:00:00 am,42.8
01-Nov-20 12:00:00 am,44.4
02-Nov-20 12:00:00 am,45.8
03-Nov-20 12:00:00 am,41.3
04-Nov-20 12:00:00 am,42.6
05-Nov-20 12:00:00 am,43.0
06-Nov-20 12:00:00 am,41.8
07-Nov-20 12:00:00 am,44.6
08-Nov-20 12:00:00 am,44.0
09-Nov-20 12:00:00 am,44.0
10-Nov-20 12:00:00 am,38.0
11-Nov-20 12:00:00 am,43.2
12-Nov-20 12:00:00 am,40.4
13-Nov-20 12:00:00 am,42.0
14-Nov-20 12:00:00 am,44.1
15-Nov-20 12:00:00 am,44.1
16-Nov-20 12:00:00 am,44.7
17-Nov-20 12:00:00 am,45.5
18-Nov-20 12:00:00 am,45.3
19-Nov-20 12:00:00 am,45.1
20-Nov-20 12:00:00 am,44.5
21-Nov-20 12:00:00 am,44.3
22-Nov-20 12:00:00 am,40.9
23-Nov-20 12:00:00 am,42.6
24-Nov-20 12:00:00 am,43.8
25-Nov-20 12:00:00 am,44.2
26-Nov-20 12:00:00 am,45.0
27-Nov-20 12:00:00 am,44.2
28-Nov-20 12:00:00 am,42.9
29-Nov-20 12:00:00 am,41.5
30-Nov-20 12:00:00 am,43.5
01-Dec-20 12:00:00 am,43.1
02-Dec-20 12:00:00 am,43.3
03-Dec-20 12:00:00 am,44.3
04-Dec-20 12:00:00 am,45.0
05-Dec-20 12:00:00 am,44.2
06-Dec-20 12:00:00 am,44.2
07-Dec-20 12:00:00 am,43.8
08-Dec-20 12:00:00 am,44.8
09-Dec-20 12:00:00 am,45.6
10-Dec-20 12:00:00 am,46.4
11-Dec-20 12:00:00 am,46.6
12-Dec-20 12:00:00 am,44.9
13-Dec-20 12:00:00 am,46.0
14-Dec-20 12:00:00 am,45.4
15-Dec-20 12:00:00 am,45.1
16-Dec-20 12:00:00 am,45.5
17-Dec-20 12:00:00 am,47.0
18-Dec-20 12:00:00 am,47.6
19-Dec-20 12:00:00 am,47.7
20-Dec-20 12:00:00 am,47.4
21-Dec-20 12:00:00 am,47.8
22-Dec-20 12:00:00 am,48.2
23-Dec-20 12:00:00 am,48.2
24-Dec-20 12:00:00 am,47.2
25-Dec-20 12:00:00 am,45.5
26-Dec-20 12:00:00 am,46.0
27-Dec-20 12:00:00 am,46.4
28-Dec-20 12:00:00 am,46.0
29-Dec-20 12:00:00 am,45.6
30-Dec-20 12:00:00 am,44.9
31-Dec-20 12:00:00 am,44.7
01-Jan-21 12:00:00 am,45.2
02-Jan-21 12:00:00 am,38.9
03-Jan-21 12:00:00 am,37.6
04-Jan-21 12:00:00 am,37.6
05-Jan-21 12:00:00 am,36.8
06-Jan-21 12:00:00 am,39.5
07-Jan-21 12:00:00 am,36.0
08-Jan-21 12:00:00 am,34.7
09-Jan-21 12:00:00 am,35.2
10-Jan-21 12:00:00 am,34.7
11-Jan-21 12:00:00 am,38.0
12-Jan-21 12:00:00 am,42.0
13-Jan-21 12:00:00 am,40.8
14-Jan-21 12:00:00 am,42.9
15-Jan-21 12:00:00 am,41.0
16-Jan-21 12:00:00 am,40.1
17-Jan-21 12:00:00 am,41.5
18-Jan-21 12:00:00 am,42.2
19-Jan-21 12:00:00 am,46.4
20-Jan-21 12:00:00 am,48.1
21-Jan-21 12:00:00 am,45.2
22-Jan-21 12:00:00 am,43.5
23-Jan-21 12:00:00 am,42.4
24-Jan-21 12:00:00 am,41.1
25-Jan-21 12:00:00 am,41.1
26-Jan-21 12:00:00 am,43.5
27-Jan-21 12:00:00 am,45.3
28-Jan-21 12:00:00 am,47.0
29-Jan-21 12:00:00 am,48.2
30-Jan-21 12:00:00 am,48.5
31-Jan-21 12:00:00 am,47.2
01-Feb-21 12:00:00 am,47.8
02-Feb-21 12:00:00 am,48.5
03-Feb-21 12:00:00 am,48.8
04-Feb-21 12:00:00 am,48.3
05-Feb-21 12:00:00 am,48.6
06-Feb-21 12:00:00 am,48.2
07-Feb-21 12:00:00 am,46.5
08-Feb-21 12:00:00 am,44.9
09-Feb-21 12:00:00 am,45.1
10-Feb-21 12:00:00 am,44.9
11-Feb-21 12:00:00 am,44.5
12-Feb-21 12:00:00 am,43.7
13-Feb-21 12:00:00 am,42.8
14-Feb-21 12:00:00 am,42.8
15-Feb-21 12:00:00 am,37.5
16-Feb-21 12:00:00 am,46.5
17-Feb-21 12:00:00 am,48.6
18-Feb-21 12:00:00 am,48.1
19-Feb-21 12:00:00 am,47.9
20-Feb-21 12:00:00 am,48.4
21-Feb-21 12:00:00 am,47.1
22-Feb-21 12:00:00 am,48.0
23-Feb-21 12:00:00 am,44.9
24-Feb-21 12:00:00 am,44.4
25-Feb-21 12:00:00 am,46.7
26-Feb-21 12:00:00 am,43.9
27-Feb-21 12:00:00 am,43.3
28-Feb-21 12:00:00 am,45.6
01-Mar-21 12:00:00 am,46.1
02-Mar-21 12:00:00 am,45.9
03-Mar-21 12:00:00 am,46.3
04-Mar-21 12:00:00 am,46.7
05-Mar-21 12:00:00 am,45.6
06-Mar-21 12:00:00 am,45.0
07-Mar-21 12:00:00 am,44.4
08-Mar-21 12:00:00 am,44.0
09-Mar-21 12:00:00 am,45.1
10-Mar-21 12:00:00 am,45.2
11-Mar-21 12:00:00 am,47.7
12-Mar-21 12:00:00 am,45.9
13-Mar-21 12:00:00 am,44.8
14-Mar-21 12:00:00 am,46.3
15-Mar-21 12:00:00 am,46.8
16-Mar-21 12:00:00 am,47.2